,principal component 1,principal component 2,principal component 3,principal component 4,P. Habitable Class,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
1884,-1.041322358,0.610127659,-0.176107192,0.045921079,0,-0.47929816,-0.299236977,-0.45264934,-0.348471995,0.678431493,0.422413919,0.182003914,0.039105394,-0.537532066,-0.2819117,-0.015443607,0.427992058,-0.136745091,0.670360866,0.151573966,0.402209803,-0.204891139,-0.179058076
1885,-2.013566233,0.66211313,-0.045270124,0.491213619,0,-0.182727685,0.123776219,0.471302252,-0.179561904,0.743699108,0.710461846,0.37604884,-0.348771511,-0.362134513,-0.23693246,-0.323204702,-0.384934833,0.362409234,-0.632727196,-0.008547615,-0.292126677,0.188172489,-0.644890822
1886,-1.298467661,0.510272895,-0.197795911,0.02130826,0,-0.334378457,-0.149824578,-0.051713546,-0.374890224,0.810251113,0.814566565,0.269838983,-0.190339653,-0.763069534,-0.435932436,-0.507271181,0.388374587,-0.003125256,0.756808394,0.212459379,0.262973498,-0.060686591,-0.680634363
1887,-1.528501962,-1.072374352,-0.357638932,0.63936082,0,0.226915608,0.01676628,-0.273793558,-0.489267995,1.193745056,0.685215459,0.249755494,-0.331113075,-0.266611923,-0.179643459,-0.42636067,-0.185269069,0.142869934,-0.698347526,-0.142787946,-0.46572506,0.290203949,-0.66787046
1888,-2.132481924,0.730580864,0.086986527,1.034899274,0,0.233006837,0.028852982,0.512281065,0.208440421,-0.875965131,1.265447701,-1.928008571,0.495685105,0.018626614,0.202248523,-0.662668945,0.271403401,-0.555603088,-0.027603243,-0.09192876,-0.173854903,0.032055995,-0.19373599
1889,-2.193940777,-0.111010449,-0.211966254,1.023026251,0,0.206903602,-0.092919838,-0.115407185,-0.35338324,0.769331647,0.787811608,-0.317846082,0.316201114,-0.031369549,0.006012461,-0.222068537,-0.530643338,-0.175954227,0.042071033,0.156555952,0.195568013,-0.122406228,-0.224902416
1890,-2.066998119,1.143155291,0.110140519,0.567440695,0,-0.330367332,0.02961036,0.380949886,0.000643195,0.398996452,0.218661622,0.341171009,0.004447348,-0.062985135,-0.074058457,0.190183328,-0.531534095,0.287923884,-0.658776944,-0.01864709,-0.068982261,-0.057369796,-0.116407428
1891,-1.668874576,0.128226063,-0.09905154,0.628589379,0,-0.169902406,-0.023702285,-0.144193631,-0.22792095,0.77775787,0.198644091,0.261982964,0.024663351,-0.051537428,-0.046109039,0.076819364,-0.344170463,0.173561116,-0.705883523,-0.103767839,-0.193929799,0.040647181,-0.116273525
1892,-2.596923058,1.693386635,0.619420965,0.696212976,0,-0.272392694,0.178206447,1.380419827,0.857805264,-1.667776156,0.499832735,-1.674677099,0.194532702,0.08644155,-0.057122572,-0.581889449,0.405303136,-0.250728519,0.033209569,-0.171341519,-0.10374421,-0.032621865,-0.018583903
1893,-2.062009955,0.429721542,0.119168214,0.418650306,0,-0.292834602,0.045235531,0.263145841,0.011442294,0.475870742,-0.064796579,0.323587754,-0.035782842,0.032857734,-0.112770737,0.137566157,-0.364308155,0.228889888,-0.58245011,-0.052040834,-0.191823301,0.016124273,-0.067913926
1894,-2.604434235,3.136997411,0.788384596,0.769144843,0,-0.33857422,0.200413265,1.756948535,0.90782405,-1.890620079,0.907660914,-1.591450902,0.23951951,-0.011653719,0.043408813,-0.547990979,1.35E-05,-0.168517945,-0.073939197,-0.122444482,0.111505008,-0.177357841,-0.128367529
1895,-2.13857165,1.792865632,0.225686022,0.517518089,0,-0.388223109,0.05311381,0.636161221,0.050707713,0.268535099,0.363493744,0.358332126,0.018424002,-0.068434163,0.001713287,0.144652439,-0.778728059,0.307255861,-0.648679583,0.020551161,0.041566468,-0.144747537,-0.184886823
1896,-2.318421407,0.147061818,0.280887953,0.791686565,0,0.022348265,0.095254053,0.675978181,0.560236135,-1.169679343,0.437752216,-1.803656397,0.181836939,0.107245696,-0.080286488,-0.596004911,0.767839673,-0.381933555,0.052676321,-0.262796169,-0.309037196,0.100751193,-0.044655131
1897,-1.124948063,-1.556141301,-0.318736897,0.092435628,0,0.102722254,-0.332523434,-0.866588904,-0.393200309,0.736271867,-0.016392984,0.110645798,0.085286149,-0.218021623,-0.300248508,0.07438796,0.65688413,-0.362230291,0.795989742,0.036661804,0.185316813,-0.160001573,-0.14190732
1898,-1.590184612,1.130683287,0.100161441,-0.015762072,0,-0.461087415,-0.119297895,0.205919606,-0.054649648,0.423222863,0.313130722,0.511313344,0.304225361,-0.829216721,-0.517229349,-0.412411838,0.469600745,0.106703522,0.677954466,0.32216696,0.47836357,-0.09384163,0.166832039
1899,-1.217053151,-0.010082269,-0.177245869,-0.019496448,0,-0.197358925,-0.228112019,-0.375970032,-0.326177125,0.833770135,0.260926546,0.561743208,0.294870733,-0.760618847,-0.384877947,-0.363515747,0.544611842,0.042279393,0.351449825,0.221149891,0.208381113,0.017246631,0.131948391
1900,-1.204883136,-0.932000593,-0.314935606,0.165869404,0,0.087426493,-0.289453174,-0.626909414,-0.406193083,0.888833812,0.298958696,0.29023507,0.331693182,-0.707019042,-0.402770635,-0.543555856,0.682948545,-0.159537574,0.690208508,0.198735074,0.322712376,-0.016327066,0.119056057
1901,-2.727781197,0.766042564,0.260698708,0.67114531,0,-0.275717284,0.186141258,0.927952227,0.274417836,0.153845887,0.240167835,0.164114984,-0.075631189,-0.356758601,-0.538787339,-0.505909074,-0.078614467,0.39177285,0.048851505,0.0413492,0.161549701,0.010289155,-0.217566777
